area_short,area,rho,total,structural_sum
FieldTheory,Mathlib.FieldTheory,0.84,2773,2329.1
Control,Mathlib.Control,0.838,246,206.1
SetTheory,Mathlib.SetTheory,0.835,2071,1730.1
Dynamics,Mathlib.Dynamics,0.824,493,406.3
GroupTheory,Mathlib.GroupTheory,0.819,5643,4622.7
Logic,Mathlib.Logic,0.817,656,536.2
ModelTheory,Mathlib.ModelTheory,0.816,1079,881.0
Condensed,Mathlib.Condensed,0.816,187,152.5
Algebra,Mathlib.Algebra,0.814,27721,22563.1
Order,Mathlib.Order,0.81,4817,3903.5
RepresentationTheory,Mathlib.RepresentationTheory,0.807,669,539.6999999999999
RingTheory,Mathlib.RingTheory,0.805,20334,16361.3
LinearAlgebra,Mathlib.LinearAlgebra,0.805,11300,9101.1
Data,Mathlib.Data,0.796,12652,10072.0
Geometry,Mathlib.Geometry,0.795,6732,5352.2
CategoryTheory,Mathlib.CategoryTheory,0.794,18101,14369.300000000001
Topology,Mathlib.Topology,0.792,13304,10530.6
AlgebraicGeometry,Mathlib.AlgebraicGeometry,0.789,5456,4305.8
Combinatorics,Mathlib.Combinatorics,0.789,7474,5894.8
AlgebraicTopology,Mathlib.AlgebraicTopology,0.782,2288,1789.0
MeasureTheory,Mathlib.MeasureTheory,0.781,17489,13662.7
Computability,Mathlib.Computability,0.769,2344,1802.0
Tactic,Mathlib.Tactic,0.762,362,275.9
Analysis,Mathlib.Analysis,0.756,30328,22925.3
InformationTheory,Mathlib.InformationTheory,0.752,240,180.4
Probability,Mathlib.Probability,0.752,6183,4648.2
NumberTheory,Mathlib.NumberTheory,0.742,8577,6365.599999999999
