source,Algebra,AlgebraicGeometry,AlgebraicTopology,Analysis,CategoryTheory,Combinatorics,Computability,Condensed,Data,Dynamics,FieldTheory,Geometry,GroupTheory,InformationTheory,LinearAlgebra,MeasureTheory,ModelTheory,NumberTheory,Order,Probability,RepresentationTheory,RingTheory,SetTheory,Topology
Algebra,,9.0,9.0,6.6,11.4,9.0,9.0,13.0,7.0,13.0,13.0,13.0,13.0,13.0,6.6,12.3,13.0,6.6,6.6,9.0,13.0,1.6,13.0,2.7
AlgebraicGeometry,23.4,,40.5,25.3,34.5,34.8,56.0,52.6,33.2,54.8,40.4,27.2,38.7,52.6,34.3,38.7,51.4,24.5,38.3,46.3,44.2,17.5,46.5,34.4
AlgebraicTopology,9.0,19.7,,3.6,8.8,16.9,35.7,44.5,9.6,46.6,30.7,12.8,24.9,43.7,10.1,30.1,30.7,12.8,16.1,25.8,21.8,7.1,36.7,8.8
Analysis,21.2,41.2,41.2,,35.6,20.3,35.4,41.2,38.3,41.2,38.5,27.8,35.6,41.2,38.6,31.8,41.2,24.0,35.4,32.5,41.2,27.8,41.2,14.9
Combinatorics,15.4,29.9,25.8,11.8,33.1,,31.6,40.2,12.6,35.2,31.3,27.0,21.1,40.2,24.7,28.2,37.5,25.5,19.9,29.8,40.2,25.8,32.5,22.0
Computability,11.8,33.0,37.6,14.8,32.8,22.6,,45.0,14.5,39.8,35.6,34.4,27.4,42.7,30.8,25.2,35.5,20.6,26.8,36.7,41.0,18.3,35.7,15.0
Condensed,0.8,5.2,15.6,3.9,0.8,8.7,23.7,,4.7,19.6,8.7,15.3,8.7,34.1,0.8,6.9,17.5,7.8,8.7,9.8,21.5,0.8,17.4,0.0
Control,9.0,18.0,20.1,11.4,11.8,7.3,6.7,29.2,2.5,28.7,16.3,17.9,14.2,30.2,16.4,14.5,19.1,12.0,11.4,20.4,21.2,12.0,18.3,8.8
Data,13.8,32.5,34.4,21.7,26.5,18.6,23.8,43.4,,38.5,25.0,31.9,25.2,43.4,23.4,21.0,34.7,25.6,21.0,32.0,38.5,12.5,25.6,21.8
Dynamics,5.4,15.2,18.4,1.9,17.7,10.1,22.9,24.1,10.7,,11.7,16.7,14.0,23.6,11.9,2.6,22.6,8.8,10.0,14.2,24.5,3.4,15.5,4.5
FieldTheory,10.2,20.2,30.1,10.4,26.0,20.4,23.1,40.8,19.5,34.4,,19.4,18.7,35.1,12.6,18.9,27.6,11.6,24.4,27.6,29.6,6.1,24.9,15.4
Geometry,12.5,19.1,18.9,2.9,20.9,16.1,21.0,27.5,14.9,21.0,19.1,,16.1,27.5,10.4,11.6,23.5,11.8,13.7,18.4,26.6,14.0,19.6,8.2
GroupTheory,8.2,21.3,24.1,17.0,20.7,15.9,22.9,24.1,13.4,24.1,23.2,17.2,,24.1,19.0,21.7,23.5,16.9,21.4,22.3,24.1,9.1,22.6,16.6
InformationTheory,2.2,3.0,8.1,0.0,4.4,2.1,6.3,18.1,3.9,16.6,3.4,0.7,3.8,,3.1,2.2,5.3,0.0,7.6,1.1,8.4,2.1,4.5,5.0
LinearAlgebra,5.0,27.5,31.6,13.4,27.5,24.9,29.0,31.6,7.8,31.6,21.0,16.9,15.8,31.6,,18.5,31.6,20.1,26.9,22.7,31.6,9.1,31.6,15.1
Logic,3.9,21.8,17.4,6.1,13.2,10.1,23.0,40.9,2.4,39.6,18.1,24.8,5.4,38.3,11.9,8.4,21.9,6.6,5.7,17.7,34.0,7.3,17.3,9.2
MeasureTheory,36.3,47.1,49.6,1.7,31.4,32.5,26.9,49.6,49.6,49.6,49.6,11.2,49.6,42.8,30.0,,49.6,28.7,24.6,7.7,49.6,18.2,47.1,26.0
ModelTheory,7.0,14.6,19.7,6.1,14.5,7.9,16.7,20.7,7.9,20.7,15.3,13.4,15.0,20.7,9.4,8.1,,11.0,15.9,15.9,20.7,5.0,16.7,8.1
NumberTheory,15.6,25.6,32.4,10.8,29.8,21.8,30.8,33.1,16.5,31.7,30.8,24.7,25.1,32.4,22.3,18.6,29.2,,28.4,22.5,32.0,10.4,32.0,19.7
Order,10.6,34.9,36.4,11.6,36.4,23.1,28.6,37.6,11.9,37.6,23.9,23.9,19.5,37.6,20.2,19.2,34.9,23.8,,24.7,37.6,15.7,34.9,10.4
Probability,29.1,35.0,67.6,0.8,54.6,36.9,67.8,92.4,37.3,89.9,77.9,42.8,57.2,87.4,54.1,9.9,78.9,36.4,35.0,,92.4,21.1,84.5,29.3
RepresentationTheory,4.1,9.1,14.6,2.3,6.4,6.8,29.7,38.0,10.7,42.6,18.0,6.0,9.9,54.3,4.1,4.9,30.7,6.9,7.8,25.4,,1.4,47.5,7.5
RingTheory,4.4,13.5,19.3,4.3,11.4,11.2,19.3,23.5,4.4,23.5,14.7,7.7,8.5,23.5,9.7,13.8,19.3,7.5,17.3,18.9,23.5,,17.2,5.3
SetTheory,8.0,19.0,31.8,9.4,32.2,15.6,24.6,41.2,4.2,30.0,28.9,23.6,18.9,36.1,21.2,18.8,33.0,19.9,16.4,30.1,43.4,14.0,,10.7
Tactic,2.4,17.6,12.2,8.1,8.4,6.1,16.6,23.4,7.4,19.3,10.8,9.2,13.6,23.7,11.6,10.2,17.5,10.5,11.2,15.8,20.6,6.8,16.1,8.0
Topology,14.1,27.8,37.6,8.1,21.2,23.8,36.2,37.6,19.7,37.6,27.8,25.7,30.2,37.6,26.1,19.6,27.8,28.6,23.7,30.2,37.6,19.4,34.7,
